team,event,oprStd,oprRobust,oprHybrid,oprHybridRobust,oprNoFoul,oprRobustNoFoul,oprHybridNoFoul,oprHybridRobustNoFoul,fmsInit,oprAutoCell,oprRobustAutoCell,oprAuto,oprRobustAuto,oprTele,oprRobustTele,fmsEnd,oprEnd,oprRobustEnd,oprFoulDraw,oprRobustFoulDraw,oprFoulMade,oprRobustFoulMade
3616,2020arli,17.772671467916886,0.21521517634378995,15.853486642522048,5.097059212730571,8.882439433009315,-1.7222873689098819,6.963254607614486,3.159556667476899,5.0,0.3350860902926023,-1.9025662287887464,5.502755310888656,2.889489977191352,-1.7051648160114503,-3.2712104370676887,3.3333333333333335,5.084848938132076,-1.3405669090335621,8.890232034907562,1.937502545253672,-1.0467055756961408,-1.0894373813209013
364,2020arli,13.501364165721576,9.853944360106377,11.72727162677335,8.87761033539059,15.062575990881044,12.65460661887033,13.288483451932805,11.678272594154537,1.6666666666666667,2.943075567534903,2.3879763182383535,3.5810373525156347,2.923772078003285,8.123185662175679,7.068074053693961,0.5555555555555556,3.358352976189713,2.6627604871730655,-1.561211825159456,-2.800662258763946,-7.912175332603435,-7.845841696732174
3937,2020arli,65.39608238269845,66.73955232916316,69.70675273297705,71.0357011423453,67.3635002216534,68.08012913752637,71.674170571932,72.37627795070853,5.0,13.484177164893435,13.568532892806996,17.693866512397694,17.719841692562095,27.078882295927443,27.696633946790428,26.11111111111111,22.59075141332825,22.663653498173822,-1.967417838954944,-1.3405768083632257,-4.845842092399316,-4.416904636003281
3959,2020arli,59.23028795398319,61.04092018062944,62.06104692148351,63.101612872172296,41.09199022645425,42.40769322321195,43.92274919395459,44.4683859147548,5.0,11.751752670921567,11.936561849515968,16.607716581258938,16.7995958292124,6.059885411921908,6.420712954127714,21.11111111111111,18.42438823327341,19.187384439871845,18.138297727528926,18.633226957417495,1.3264535927347163,1.3080018923121888
3966,2020arli,28.904950576089057,29.809861021498943,35.79769885269001,36.23373375871768,29.90398687337524,30.41272039519002,36.79673514997622,36.83659313240877,5.0,10.516743816480036,10.579992964765495,15.742776437725261,15.796698052383782,10.168880222385077,10.145489056532169,11.11111111111111,3.992330213264932,4.47053328627406,-0.9990362972862092,-0.6028593736910883,-5.643149753875907,-5.548284232357453
3991,2020arli,14.65570399817845,15.120274144977582,19.64083307433105,19.869599350744874,10.82428565979179,10.705615455624894,15.809414735944378,15.45494066139214,5.0,3.090187796651364,3.1060216847126467,6.662512900571661,6.668212149019365,3.2747824948485693,2.904474532235049,4.444444444444445,0.8869902643715175,1.1329287743704732,3.831418338386669,4.414658689352733,1.6421343447856023,1.9053843068903573
4087,2020arli,62.15202248823184,62.58585826831473,60.36592314397851,59.988058187895945,66.9299021779386,67.12984286730155,65.14380283368526,64.53204278688276,5.0,15.07854952902498,15.161360727216984,21.11302096692643,21.261640378849346,21.176364415771385,20.481793170776882,23.88888888888889,24.64051679524074,25.38640931767533,-4.777879689706744,-4.54398459898681,-4.2260060639696135,-4.493670299979128
4265,2020arli,56.11280091701421,53.64883142610714,59.77262728507896,58.188058015686984,50.29047878637954,48.28595377289638,53.95030515444432,52.82518036247621,5.0,9.292430034446081,8.946204879978623,13.340467010390311,12.932257844730898,14.102319564442679,13.32341992694203,25.555555555555557,22.84769221154655,22.030276001223406,5.822322130634639,5.3628776532107745,-12.035578840969261,-11.757976338634723
4330,2020arli,14.014936052255537,22.751104063458786,15.34633546050512,19.039123429143835,13.082964986774263,20.47129689108931,14.414364395023917,16.75931625677438,3.3333333333333335,-4.057039959165157,-2.4171648342958134,-1.4790180577278953,0.7700831756814708,-2.3619289791442606,-1.6568522422631382,17.5,16.92391202364645,21.35806595767098,0.9319710654812026,2.2798071723694573,-14.828392518173848,-17.581759965949537
4336,2020arli,48.17594615797935,60.24415453271632,52.476826065424156,62.00985768568102,38.81271848750875,47.29468546438255,43.113598394953584,49.06038861734726,5.0,6.763381791201006,8.520558624314553,12.153301940091659,14.178896091994682,5.5168832704192425,9.706496659699372,25.833333333333332,21.14253327699788,23.409292712688476,9.363227670470572,12.949469068333762,1.3787636258781877,1.1410019328245542
