,event,key,color,team1,team2,team3,score,scorePredStd,scorePredRobust,scorePredHybrid,scorePredRobustHybrid,scorePredSplitFoul,scorePredRobustSplitFoul,scorePredHybridSplitFoul,scorePredRobHybSplitFoul,margin,marginPredStd,marginPredRobust,marginPredHybrid,marginPredRobustHybrid,marginPredSplitFoul,marginPredRobustSplitFoul,marginPredHybridSplitFoul,marginPredRobHybSplitFoul,auto,autoCell,teleop,endgame,foulsDrawn,opp1,opp2,opp3,oppScore,foulsMade,compLevel,matchNumber,alliance,allianceOpp,alliancePair,weight,weightPair
79,2020pahat,2020pahat_qf4m2,red,3314,2607,709,157,125.91080320861417,125.91080320861417,124.91937970377109,124.91937970377109,121.21371319187053,121.21371319187053,120.22228968702744,120.22228968702744,95,27.348549110042313,27.348549110042313,23.64008263758555,23.64008263758555,23.580097140894935,23.580097140894935,19.871630668438144,19.871630668438144,47,32,95,70,15,708,1168,303,62,0,qf,2,3,6,36,0.14285714285714285,0.5
80,2020pahat,2020pahat_qf1m3,red,5895,365,341,143,137.44993451544792,137.44993451544792,148.43478135103038,148.43478135103038,132.34043466129327,132.34043466129327,143.32528149687573,143.32528149687573,14,46.72075144917325,46.72075144917325,61.18994562796797,61.18994562796797,52.9940611124655,52.9940611124655,67.46325529126018,67.46325529126018,39,24,74,65,30,484,4575,2539,129,0,qf,3,1,8,18,0.14285714285714285,0.3333333333333333
81,2020pahat,2020pahat_qf2m3,red,1218,6226,423,115,134.62980944730432,134.62980944730432,136.4258068968644,136.4258068968644,137.10462912625263,137.10462912625263,138.9006265758127,138.9006265758127,-33,31.136619494162204,31.136619494162204,53.151632199582124,53.151632199582124,38.374285121597396,38.374285121597396,60.389297827017415,60.389297827017415,27,12,58,30,30,1089,2729,2234,148,-15,qf,3,4,5,45,0.3333333333333333,0.3333333333333333
82,2020pahat,2020pahat_sf1m1,red,5895,365,341,93,137.44993451544792,137.44993451544792,148.43478135103038,148.43478135103038,130.96710094064213,130.96710094064213,141.9519477762246,141.9519477762246,16,33.9567445623058,33.9567445623058,65.1606066537481,65.1606066537481,35.289673364628044,35.289673364628044,66.49353545607048,66.49353545607048,45,30,45,10,3,1089,2729,2234,77,-9,sf,1,1,5,15,0.14285714285714285,0.5
83,2020pahat,2020pahat_sf2m1,red,1640,1807,2495,181,125.92513890586535,125.92513890586535,125.76174013595191,125.76174013595191,116.22588183975726,116.22588183975726,116.06248306984382,116.06248306984382,42,0.014335697251183888,0.014335697251183888,0.8423604321808256,0.8423604321808256,-27.439775868937048,-27.439775868937048,-26.611751134007406,-26.611751134007406,23,8,128,65,30,3314,2607,709,139,-3,sf,1,2,3,23,0.2,0.3333333333333333
84,2020pahat,2020pahat_sf1m2,red,5895,365,341,148,137.44993451544792,137.44993451544792,148.43478135103038,148.43478135103038,130.96710094064213,130.96710094064213,141.9519477762246,141.9519477762246,8,33.9567445623058,33.9567445623058,65.1606066537481,65.1606066537481,35.289673364628044,35.289673364628044,66.49353545607048,66.49353545607048,47,32,101,65,0,1089,2729,2234,140,0,sf,2,1,5,15,0.14285714285714285,0.5
85,2020pahat,2020pahat_sf2m2,red,1640,1807,2495,159,125.92513890586535,125.92513890586535,125.76174013595191,125.76174013595191,121.88784661138808,121.88784661138808,121.72444784147464,121.72444784147464,-20,-8.24180179884344,-8.24180179884344,3.2379703223024023,3.2379703223024023,-28.32509292376983,-28.32509292376983,-16.84532080262403,-16.84532080262403,39,24,120,65,0,3314,2607,5113,179,0,sf,2,2,3,23,0.2,0.3333333333333333
86,2020pahat,2020pahat_sf2m3,red,1640,1807,2495,164,125.92513890586535,125.92513890586535,125.76174013595191,125.76174013595191,121.88784661138808,121.88784661138808,121.72444784147464,121.72444784147464,-26,-8.24180179884344,-8.24180179884344,3.2379703223024023,3.2379703223024023,-28.32509292376983,-28.32509292376983,-16.84532080262403,-16.84532080262403,39,24,110,45,15,3314,2607,5113,190,-18,sf,3,2,3,23,0.2,0.3333333333333333
87,2020pahat,2020pahat_f1m1,red,5895,365,341,151,137.44993451544792,137.44993451544792,148.43478135103038,148.43478135103038,131.21651260326664,131.21651260326664,142.2013594388491,142.2013594388491,38,3.2829938107391285,3.2829938107391285,25.911011537380872,25.911011537380872,9.058224186508639,9.058224186508639,31.686241913150354,31.686241913150354,45,30,106,45,0,3314,2607,5113,113,0,f,1,1,3,13,0.14285714285714285,0.5
88,2020pahat,2020pahat_f1m2,red,5895,365,341,170,137.44993451544792,137.44993451544792,148.43478135103038,148.43478135103038,131.21651260326664,131.21651260326664,142.2013594388491,142.2013594388491,46,3.2829938107391285,3.2829938107391285,25.911011537380872,25.911011537380872,9.058224186508639,9.058224186508639,31.686241913150354,31.686241913150354,42,32,122,65,6,3314,2607,5113,124,0,f,2,1,3,13,0.14285714285714285,0.5
61,2020qcsh,2020qcsh_qf1m1,blue,2013,3386,1772,96,75.21775835807671,76.0371207672462,87.61292780636627,89.24656227879608,78.14682617014392,79.31634528504902,90.54199561843342,92.52578679659884,-32,-51.32042596957733,-47.12366058470312,-52.650833066136144,-48.35982877799053,-45.72326727430851,-42.114311891480156,-47.053674370867384,-43.35048008476751,35,20,55,30,6,3360,3990,2626,128,0,qf,1,8,1,81,0.5,0.5
62,2020qcsh,2020qcsh_qf2m1,blue,4942,3986,3544,141,100.06061353892784,94.92282415769998,105.12229229590086,100.9501385214666,93.65226221198785,91.19736678986335,98.71394096896088,97.22468115362996,31,-7.05212889992508,-11.760288935667958,3.467034570276411,-2.1258124447559794,-5.312151105442837,-7.946095295345259,5.207012364758668,1.6883811955667483,23,8,103,65,15,4952,296,2095,110,0,qf,1,5,4,54,0.2,0.5
63,2020qcsh,2020qcsh_qf3m1,blue,2234,3117,3550,126,115.32773530952402,104.73750496843408,110.32714071554614,101.33437987706785,93.8815183933542,92.44372050610878,88.88092379937636,89.0405954147425,-1,-34.25965794316828,-31.8041949098384,-35.341249959367985,-32.173636698245815,-46.23837282699178,-45.478271078760514,-47.31996484319144,-45.847712867168,49,34,71,50,6,3996,5528,4955,127,-15,qf,1,7,2,72,0.5,0.5
64,2020qcsh,2020qcsh_qf4m1,blue,4947,7605,2016,206,85.10601536759901,94.43042080646673,84.24737458054568,91.49326822863745,97.76916713617379,100.2839000012429,96.91052634912043,97.34674742341355,116,-40.901081935057846,-32.55138106560575,-44.81351710031353,-40.85342545870398,-18.042171577370226,-12.805794753340578,-21.954606742625998,-21.107839146438835,55,40,121,90,30,5618,3988,5570,90,0,qf,1,6,3,63,0.2,0.5
65,2020qcsh,2020qcsh_qf1m2,blue,2013,3386,1772,131,75.21775835807671,76.0371207672462,87.61292780636627,89.24656227879608,78.14682617014392,79.31634528504902,90.54199561843342,92.52578679659884,-56,-51.32042596957733,-47.12366058470312,-52.650833066136144,-48.35982877799053,-45.72326727430851,-42.114311891480156,-47.053674370867384,-43.35048008476751,49,34,67,55,15,3360,3990,2626,187,-15,qf,2,8,1,81,0.5,0.5
66,2020qcsh,2020qcsh_qf2m2,blue,4942,3986,3544,107,100.06061353892784,94.92282415769998,105.12229229590086,100.9501385214666,93.65226221198785,91.19736678986335,98.71394096896088,97.22468115362996,29,-7.05212889992508,-11.760288935667958,3.467034570276411,-2.1258124447559794,-5.312151105442837,-7.946095295345259,5.207012364758668,1.6883811955667483,19,4,73,65,15,4952,296,2095,78,-15,qf,2,5,4,54,0.2,0.5
67,2020qcsh,2020qcsh_qf3m2,blue,2234,3117,3550,137,115.32773530952402,104.73750496843408,110.32714071554614,101.33437987706785,93.8815183933542,92.44372050610878,88.88092379937636,89.0405954147425,-4,-34.25965794316828,-31.8041949098384,-35.341249959367985,-32.173636698245815,-46.23837282699178,-45.478271078760514,-47.31996484319144,-45.847712867168,47,32,90,50,0,3996,5528,4955,141,-30,qf,2,7,2,72,0.5,0.5
68,2020qcsh,2020qcsh_qf4m2,blue,4947,7605,2016,134,85.10601536759901,94.43042080646673,84.24737458054568,91.49326822863745,97.76916713617379,100.2839000012429,96.91052634912043,97.34674742341355,46,-40.901081935057846,-32.55138106560575,-44.81351710031353,-40.85342545870398,-18.042171577370226,-12.805794753340578,-21.954606742625998,-21.107839146438835,43,28,76,55,15,5618,3988,5570,88,-3,qf,2,6,3,63,0.2,0.5
69,2020qcsh,2020qcsh_sf1m1,blue,4942,3986,3544,113,100.06061353892784,94.92282415769998,105.12229229590086,100.9501385214666,97.54539345119821,96.60526747622471,102.60707220817125,102.63258183999132,-88,-26.477570788726197,-28.237957194249333,-35.141468576601554,-36.65625253532001,-16.22257785748731,-17.242502927801425,-24.886475645362637,-25.660798268872,27,12,86,50,0,3360,3990,2626,201,-18,sf,1,5,1,51,0.2,0.3333333333333333
70,2020qcsh,2020qcsh_sf2m1,blue,4947,7605,2016,125,85.10601536759901,94.43042080646673,84.24737458054568,91.49326822863745,73.48460258250186,76.6284404192861,72.6259617954485,73.69128784145674,-18,-64.48137788509328,-42.111279071805754,-61.42101609436844,-42.014748346676214,-63.145217624748355,-57.377246271869566,-60.084855834023514,-57.280715546740126,39,24,71,50,15,3996,5528,4955,143,-15,sf,1,6,2,62,0.2,0.3333333333333333
71,2020qcsh,2020qcsh_sf1m2,blue,4942,3986,3544,159,100.06061353892784,94.92282415769998,105.12229229590086,100.9501385214666,97.54539345119821,96.60526747622471,102.60707220817125,102.63258183999132,53,-26.477570788726197,-28.237957194249333,-35.141468576601554,-36.65625253532001,-16.22257785748731,-17.242502927801425,-24.886475645362637,-25.660798268872,15,0,117,90,27,3360,3990,2626,106,0,sf,2,5,1,51,0.2,0.3333333333333333
